on x=-11..33,y=-6..40,z=-16..37
on x=-19220..-9675,y=29516..54528,z=58963..71318
on x=-89405..-71366,y=329..20658,z=17088..39485
on x=48807..65272,y=-11182..-2515,z=33689..67952
on x=-62185..-33194,y=-32027..-4968,z=47218..70105
on x=-49260..-25903,y=-59470..-34424,z=-75405..-44239
on x=-69424..-62899,y=37068..55605,z=-3476..5226
on x=-24786..-21772,y=66159..77802,z=-51515..-13605
on x=-37464..-7009,y=-24318..-14439,z=-88882..-56080
on x=13491..48426,y=-86533..-69233,z=-11101..8820
on x=18137..36596,y=56982..87194,z=-26391..-7218
on x=-73986..-65455,y=-40459..-25641,z=5811..22531
on x=56480..72410,y=-23085..373,z=-54884..-44893
on x=-72..9616,y=33541..62581,z=-76024..-41529
on x=5811..29667,y=76040..84275,z=3794..19078
on x=31769..54691,y=-72297..-54884,z=11568..30599
on x=38705..40732,y=53076..81496,z=-20757..9517
on x=-13332..6003,y=-92149..-67470,z=13826..25305
on x=-36361..-18175,y=-7198..5782,z=-85116..-65760
on x=72099..89917,y=-35339..-6561,z=-18702..3529
on x=14916..21176,y=-17870..14037,z=66567..80508
on x=15650..31204,y=-65831..-46311,z=-71381..-47512
on x=57185..76911,y=-2966..9137,z=39217..42970
on x=-21218..-9089,y=60853..66598,z=-65895..-49482
on x=12217..37563,y=-33737..3116,z=-79589..-71994
on x=-24435..-1179,y=61379..96140,z=5111..13700
on x=-47837..-24016,y=24730..38884,z=62380..65554
on x=-79483..-69531,y=-3888..15433,z=-50484..-22944
on x=-74982..-54797,y=-59699..-43075,z=1572..23991
on x=22536..39698,y=-69795..-36738,z=47715..68342
on x=-16003..-2396,y=70179..88747,z=17005..49146
on x=22554..32407,y=-80100..-66240,z=-22164..-1729
on x=-13583..-6556,y=61638..96038,z=-13494..-7490
on x=12236..31240,y=-82560..-68788,z=-44096..-25380
on x=-40040..-32781,y=-7855..12988,z=-87105..-60530
on x=-50283..-24489,y=43700..58185,z=-45955..-26056
on x=-62151..-46123,y=-75045..-45373,z=7112..34441
on x=-56568..-39255,y=40679..69755,z=31070..49467
on x=-6977..-4516,y=-50981..-37765,z=53142..81539
on x=58949..79172,y=-38054..-11546,z=-55399..-43258
on x=12967..29648,y=55993..84110,z=30089..48256
on x=9968..38213,y=-75798..-54386,z=-28175..-12716
on x=-44311..-7274,y=-80148..-59517,z=-14241..1861
on x=18546..46490,y=-65733..-40860,z=-62118..-37572
on x=-2271..26766,y=64511..83099,z=-51416..-25251
on x=-90601..-71814,y=6192..25836,z=-32952..-14912
on x=-26569..820,y=-10340..22351,z=61333..79466
on x=-9709..3302,y=57621..71334,z=28122..53666
on x=-75028..-52307,y=-3116..31441,z=33506..37957
on x=35446..66149,y=25301..62450,z=-42423..-34112
on x=-63763..-42164,y=-66010..-55301,z=-33540..-2074
on x=-51080..-35163,y=-76248..-59521,z=22498..45227
on x=48050..69664,y=48245..50439,z=-43346..-10038
on x=61239..88801,y=63..10257,z=16547..29381
on x=1461..12900,y=58310..67961,z=43110..67087
on x=-64925..-51002,y=-47822..-29558,z=-38492..-17616
on x=-30974..-14734,y=18687..30483,z=-86407..-67736
on x=21136..43241,y=38836..54209,z=37478..60357
on x=57476..77217,y=8846..25808,z=23991..44615
on x=-23202..8649,y=-73327..-58989,z=-56906..-37911
on x=58046..60268,y=-13295..4247,z=-61356..-39657
on x=-71350..-45157,y=-41433..-31528,z=21203..44630
on x=-94860..-69586,y=8228..33917,z=-6572..28035
on x=24637..30475,y=51768..66115,z=39375..45973
on x=-12988..12447,y=-80825..-60518,z=-20069..5301
on x=-91600..-69209,y=-30521..-20316,z=11234..22677
on x=-7421..-3636,y=-40727..-17229,z=64137..86775
on x=59523..76484,y=6288..39603,z=-22000..-3094
on x=63294..78222,y=-50184..-33082,z=-14565..19078
on x=43627..60468,y=-52929..-40706,z=27002..50322
on x=-32412..-6949,y=-90331..-73353,z=522..4134
on x=-19932..-835,y=43302..58246,z=55217..67369
on x=-22140..-1580,y=72424..88097,z=-30186..-4633
on x=32994..47253,y=35570..47312,z=-74294..-42106
on x=-60383..-49562,y=42559..74096,z=-23034..-766
on x=47172..63440,y=-69364..-45568,z=-6117..10614
on x=-81089..-61599,y=27441..62058,z=12608..35576
on x=34923..69365,y=13653..38800,z=-77261..-43750
on x=41054..61704,y=27512..34800,z=-57849..-40312
on x=22144..34980,y=19631..29700,z=-86432..-55572
on x=-12122..15745,y=-75805..-66340,z=36641..49918
on x=30910..41979,y=-51045..-39883,z=40132..60580
on x=16087..41362,y=69442..78280,z=-20140..-6620
on x=-2498..12657,y=66055..88671,z=24902..37865
on x=-53541..-33332,y=40522..63114,z=17690..23330
on x=-25486..-14848,y=-22167..-10217,z=73479..81666
on x=-49904..-21142,y=-32441..-19796,z=-65094..-48964
on x=-77185..-52199,y=-43621..-29163,z=-2980..29505
on x=47628..62285,y=-27324..-6159,z=54741..76523
on x=-68672..-53382,y=13874..29953,z=-52436..-24787
on x=24729..35483,y=-39432..-31141,z=55462..68911
on x=-85643..-60966,y=-16215..708,z=27959..49870
on x=-70023..-44399,y=28742..46887,z=-48656..-27334
on x=13237..38992,y=72316..93275,z=9371..18339
on x=3601..27855,y=-53221..-37588,z=-79390..-59309
on x=73624..87421,y=647..26355,z=-30957..-5423
on x=-70851..-47736,y=-45072..-24946,z=37815..58192
on x=-19325..7381,y=-20048..-3907,z=70818..83270
on x=65532..77053,y=-13023..4822,z=-55535..-29335
on x=-77943..-60312,y=18202..34941,z=12108..41626
on x=-76720..-58569,y=-42973..-22667,z=4073..29355
on x=46174..59694,y=44339..51223,z=28653..59550
on x=-44238..-29509,y=-87529..-58268,z=5760..16252
on x=-62428..-54590,y=7475..19744,z=-69355..-39348
on x=-40490..-24926,y=11223..28033,z=53505..73784
on x=-61821..-41060,y=-65031..-26842,z=33274..53261
on x=-89724..-64590,y=-19721..-327,z=-26607..-9599
on x=-34431..-20563,y=50755..68833,z=-56541..-35697
on x=55247..88432,y=7981..44436,z=7759..16910
on x=-66628..-53580,y=-62370..-42076,z=16219..33691
on x=14414..42406,y=-85437..-53970,z=17700..34996
on x=-83467..-76235,y=5890..16777,z=-7053..13257
on x=38443..46746,y=-76565..-51921,z=-7708..3586
on x=-68726..-52259,y=32484..44835,z=25077..37882
on x=-74597..-50281,y=-11754..6056,z=-62256..-26807
on x=-33170..-16817,y=59734..75543,z=5119..42517
on x=-37088..-7851,y=21070..40392,z=52712..84858
on x=-38459..-5698,y=-80141..-51196,z=-42325..-17367
on x=18454..47906,y=-85662..-56686,z=14396..33029
on x=-41249..-27006,y=59650..74737,z=-35603..-18205
on x=-35206..-18846,y=-12542..-592,z=-88090..-60234
on x=62210..77161,y=-43088..-16886,z=24074..54283
on x=-15430..13172,y=1904..22129,z=-80564..-70232
on x=-29859..-12978,y=56105..82581,z=-48724..-23210
on x=-56887..-50053,y=-29444..-16505,z=-61442..-38029
on x=30604..54367,y=46212..53964,z=-52852..-34343
on x=70181..78863,y=-45106..-13492,z=-9745..19529
on x=8322..22435,y=42430..55347,z=52882..64672
on x=-69478..-61259,y=1778..24792,z=-63998..-37991
on x=16179..23834,y=49247..61008,z=51575..70785
on x=-92447..-65736,y=-35679..-10409,z=-19722..-7466
on x=-9579..2162,y=-80611..-59056,z=-42233..-29154
on x=48383..66349,y=-12960..16968,z=-58258..-46009
on x=-32357..-9984,y=-68069..-49239,z=31105..47676
on x=66946..83179,y=-5224..11437,z=-43928..-24041
on x=13814..39369,y=-76170..-41530,z=-56800..-40886
on x=62282..72077,y=17785..48293,z=8677..37715
on x=-44382..-29991,y=60002..79555,z=3843..17588
on x=75247..83629,y=-28545..-6291,z=-10819..-2122
on x=-956..26375,y=-81524..-71549,z=26313..43930
on x=30012..36383,y=34248..52598,z=56265..66326
on x=-48730..-24738,y=-80273..-57415,z=6805..13225
on x=-58593..-47213,y=-18537..4027,z=54774..80145
on x=3810..25698,y=70004..81369,z=-51070..-24151
on x=-24437..-5093,y=-86059..-69302,z=3319..7790
on x=-31365..-19431,y=-88889..-63893,z=17698..43049
on x=19977..46038,y=4288..24488,z=65477..72640
on x=9206..45518,y=-49253..-18169,z=-75545..-51533
on x=-4478..11513,y=-3222..14383,z=71041..92715
on x=-83552..-57412,y=-35665..-16854,z=15963..44817
on x=34730..53067,y=44234..58027,z=31635..55954
on x=33780..55108,y=-85336..-63582,z=-60..19260
on x=-60709..-48773,y=27826..52995,z=47092..56789
on x=4599..16485,y=59775..83142,z=-8444..14929
on x=39634..47449,y=-10709..-3483,z=56673..65961
on x=17954..21090,y=46398..64655,z=40116..72009
on x=51479..62837,y=-27485..-1712,z=-59021..-32232
on x=26397..48116,y=49913..64456,z=32763..46893
on x=-40166..-6453,y=54294..88546,z=19469..46914
on x=-11587..-3465,y=-76385..-45142,z=-55088..-47775
on x=25337..58818,y=-73241..-50645,z=-60403..-31242
on x=18670..27833,y=10699..25997,z=-78411..-53777
on x=57409..75450,y=40962..60348,z=11226..25913
on x=55748..74851,y=-54477..-43708,z=-28494..-15041
on x=26830..53176,y=-67735..-51525,z=13985..45082
on x=-8911..13239,y=-74882..-67577,z=-51935..-26067
on x=63953..87466,y=35424..47855,z=-20625..-3868
on x=-20694..2154,y=-3805..15541,z=68000..85521
off x=-64858..-38773,y=-22979..-12516,z=-72865..-52375
off x=-36214..-19494,y=-48856..-31044,z=55849..67059
on x=18769..39214,y=59223..74065,z=-25526..-7466
off x=4093..19302,y=65172..80228,z=-18875..4459
on x=-72853..-64913,y=-44437..-23173,z=16546..27389
on x=-74000..-63343,y=-17952..-11976,z=26071..46600
on x=55718..89196,y=8034..31868,z=23749..41136
on x=-61312..-25331,y=60154..82342,z=-29251..-12808
off x=57932..88657,y=1045..32675,z=23992..37899
on x=41352..50542,y=-36888..-13463,z=-58939..-54480
on x=-51121..-21791,y=-6418..16683,z=54132..72199
on x=22624..43927,y=-9683..12070,z=69475..91968
off x=-23521..-7662,y=64707..75601,z=-43845..-16424
off x=-42653..-21236,y=-21354..4353,z=-77029..-71014
off x=-4664..4504,y=52543..79156,z=29919..46671
on x=35818..65014,y=41342..70254,z=9185..33026
off x=-52865..-28342,y=-58289..-33044,z=45771..63238
off x=-16924..22809,y=60544..81137,z=-66967..-44290
off x=-30590..-350,y=68584..95548,z=-15319..250
on x=41065..61522,y=-21779..-15976,z=-79786..-53698
off x=9525..33346,y=-80916..-56811,z=-61811..-23799
on x=-85466..-61472,y=-42722..-26161,z=-7728..13705
on x=29179..51220,y=41045..65007,z=-55867..-32532
on x=-73524..-55904,y=32162..34120,z=34985..43261
off x=-15158..643,y=-57242..-24535,z=-75496..-57777
on x=-26523..-3554,y=-24061..-7071,z=66096..78008
on x=-68958..-44626,y=43052..58235,z=-27098..-9342
on x=-84084..-64394,y=-24045..-11011,z=-38978..-15498
on x=62184..82898,y=-27380..-1888,z=-61447..-39051
on x=635..23767,y=-54960..-40730,z=67501..86970
off x=32259..60280,y=41478..46289,z=-55818..-39638
on x=-52256..-32444,y=38811..69688,z=31521..54783
off x=2128..5231,y=-81966..-55811,z=-38574..-17048
on x=-65624..-36454,y=-49647..-30716,z=28718..58149
off x=33334..50958,y=-3486..16115,z=53857..80381
on x=-58284..-34017,y=47293..84420,z=-25796..-2948
on x=-58130..-39664,y=53973..69546,z=2549..17650
on x=-70876..-46014,y=-61557..-30740,z=19380..39271
off x=64070..92955,y=7220..28103,z=-4003..32849
on x=-17535..-470,y=-22144..-17298,z=61197..92477
off x=13631..45033,y=48414..60988,z=-54682..-42444
on x=-83453..-72620,y=-22121..-6685,z=-31229..919
off x=-71588..-48104,y=23697..43494,z=32068..53528
off x=-73315..-58835,y=29130..39683,z=1818..34677
off x=-44335..-24761,y=-39652..-28447,z=41105..78848
on x=1354..23297,y=-87726..-59186,z=16976..34498
on x=-77045..-53438,y=-9837..13204,z=43872..53252
on x=-58059..-39277,y=35454..70346,z=22294..32697
off x=8134..22913,y=27396..53406,z=52828..84609
on x=53526..67803,y=41292..59253,z=-35827..-26953
on x=-72413..-43823,y=-58264..-44414,z=-9911..-2235
off x=-27147..3300,y=2538..20789,z=-91151..-70237
on x=46087..67095,y=-48984..-29278,z=-54699..-40903
off x=63670..64821,y=-41248..-3363,z=24908..46333
off x=2632..22202,y=24847..51542,z=-80467..-64757
off x=-34027..-18196,y=-47105..-23465,z=-68869..-55326
on x=41678..54255,y=2720..29359,z=46231..75450
off x=-4213..20821,y=48132..81158,z=-63979..-27510
off x=-2170..16894,y=56662..79540,z=44419..50160
on x=-19834..2114,y=-46280..-10250,z=-77417..-57318
off x=65385..89282,y=26089..56411,z=-28795..-1266
off x=-86617..-60352,y=-34282..-6783,z=24678..35755
on x=-51880..-22038,y=-48878..-34685,z=-54503..-34099
off x=-6185..7523,y=-80929..-62538,z=-49136..-32906
on x=-69472..-44311,y=-59766..-35060,z=7986..17809
on x=-45836..-23351,y=34528..58283,z=-62062..-39907
off x=-65989..-53476,y=-18..21291,z=45332..55683
on x=57549..70543,y=6235..34900,z=18154..39248
on x=-32196..-20894,y=-88953..-64565,z=17496..42389
on x=-72208..-61402,y=-59142..-31400,z=-29975..-19314
on x=-25537..-17772,y=63785..78096,z=38132..43670
off x=-10614..4852,y=1037..34081,z=-88803..-72167
off x=-71969..-40008,y=45531..61020,z=29194..44542
off x=-97625..-62135,y=232..24412,z=-6113..4401
off x=28968..62715,y=-63990..-41136,z=-34394..-16528
on x=7127..29392,y=-25905..2139,z=67977..79951
off x=47116..69445,y=43251..70092,z=-35789..-7878
on x=46541..71892,y=4788..27226,z=31207..52344
on x=-39441..-22248,y=19261..53073,z=-62518..-57715
on x=56116..84722,y=-31369..-3302,z=-50073..-34755
on x=-65536..-47632,y=22971..39112,z=25566..54444
on x=-8629..13229,y=-55339..-45230,z=46953..70772
off x=-91996..-64629,y=-22054..5640,z=-18034..3409
off x=-79435..-68358,y=-50488..-21783,z=-23189..7130
off x=-31853..-18496,y=35962..43812,z=-78415..-57499
off x=-53097..-43476,y=-8868..6641,z=-76785..-54439
on x=18376..52266,y=-11181..7160,z=-77629..-69712
on x=-53162..-28262,y=-41919..-8199,z=-62348..-54228
on x=2939..28130,y=61801..91442,z=-11519..4615
off x=8319..29664,y=-14307..17453,z=59897..95416
off x=46661..65036,y=-13305..7325,z=-75798..-62581
off x=-37957..-23478,y=47391..59983,z=35372..55611
on x=61515..88770,y=-17267..12084,z=-23518..7771
on x=-48305..-25680,y=-81436..-53793,z=-2439..29818
off x=-42779..-39019,y=51297..69812,z=37178..50350
on x=40203..63867,y=-66235..-51382,z=-34991..-11770
off x=55954..70659,y=33330..68709,z=-12043..-2384
off x=-29487..-3952,y=-3496..10014,z=-79573..-61455
on x=55711..74934,y=26358..37763,z=-46597..-28486
on x=36775..62937,y=43496..55938,z=21471..41166
on x=-27922..-2750,y=75238..84184,z=-16664..-38
off x=50743..58719,y=-44526..-33474,z=-67293..-43466
on x=9282..16932,y=-96919..-64095,z=10331..30664
off x=-95473..-72710,y=-28988..-8136,z=-10970..9409
on x=-85389..-67764,y=13685..19641,z=-9526..33
off x=19898..50323,y=-68676..-46162,z=-62425..-39053
off x=60425..65023,y=-8453..14534,z=-58877..-45278
on x=-25428..-720,y=-80104..-62018,z=-1677..13124
on x=-48530..-37691,y=52321..74595,z=-26453..-21715
off x=-14126..19313,y=64721..76129,z=-54258..-25715
on x=-24136..-16023,y=7633..27624,z=56759..87267
on x=-41213..-21916,y=-34990..-16249,z=-76987..-54730
on x=-22621..13916,y=62123..74807,z=39068..51378
off x=-16365..-9094,y=-6481..22514,z=-93559..-64057
on x=9583..36843,y=-71013..-49912,z=33751..53993
off x=-65469..-44611,y=25911..46482,z=40095..65714
off x=-57145..-39149,y=48498..63803,z=12913..42535
on x=57651..61770,y=-28419..-6391,z=40364..49746
off x=-75576..-61139,y=-10503..5482,z=-46770..-27191
on x=-49397..-16777,y=54120..63032,z=-60010..-24837
on x=-4249..14013,y=20636..52130,z=-75802..-60246
off x=15523..45332,y=14920..27687,z=-85777..-65031
on x=50324..75616,y=-58333..-39550,z=1860..9173
off x=-10760..13032,y=63819..67101,z=30106..45713
on x=-54735..-16505,y=27874..38730,z=57002..66636
off x=70142..77459,y=-34967..-4642,z=-28373..-18318
off x=12924..33851,y=50318..76053,z=33776..47995
on x=16848..37045,y=39096..53275,z=-64850..-39585
on x=-48828..-46005,y=-37976..-11049,z=49769..63745
on x=46761..70212,y=7696..34085,z=-72620..-51191
on x=-10919..12760,y=-7270..780,z=-93456..-79203
off x=-12629..17924,y=-81153..-62978,z=-38501..-34017
on x=33047..42293,y=21628..52131,z=-74825..-42520
off x=-84656..-57493,y=-29917..-648,z=-39715..-19579
off x=-39926..-16074,y=-75937..-72179,z=-10631..-2155
off x=42338..63456,y=-10927..24423,z=-69719..-51820
on x=-37883..-27447,y=-17784..-7063,z=53825..76661
on x=72563..90078,y=-2936..19833,z=-26987..-9538
off x=-61796..-59595,y=-52405..-15746,z=-41889..-25050
on x=-72693..-53462,y=-25228..-8310,z=16685..25001
on x=16133..36168,y=-81922..-62779,z=4714..35868
off x=-38135..-35256,y=40495..63520,z=33859..50700
on x=-46578..-23290,y=-38997..-19018,z=-80304..-53511
off x=-68102..-46534,y=33132..63478,z=23336..43023
on x=-46386..-13403,y=53450..62050,z=34840..56841
off x=-69714..-58168,y=42581..60977,z=-43045..-15973
off x=38139..58983,y=33227..67599,z=37065..46982
on x=-68743..-57954,y=34901..65113,z=14186..30879
on x=-27159..-2946,y=58211..72993,z=24144..40462
on x=-12488..3541,y=24512..47183,z=61876..94098
off x=-21147..-2889,y=12986..18356,z=-92621..-55775
off x=35806..71388,y=1638..37737,z=-64849..-46796
on x=-57793..-36707,y=58839..68998,z=-17534..3308
on x=-59750..-40225,y=-69581..-44645,z=-9931..5157
on x=-8485..20686,y=-65003..-40249,z=51991..65690
on x=-39133..-20148,y=9640..31346,z=-93338..-57726
off x=32301..60879,y=-67384..-38498,z=38892..50795
off x=-17417..849,y=-29007..-5825,z=75615..94231
off x=4371..14179,y=18655..31552,z=69630..80480
on x=-30156..1315,y=-75493..-59188,z=-45573..-23628
on x=-19974..-7274,y=48510..70738,z=55087..64610
on x=21319..39947,y=-76865..-54489,z=-36911..-27790
off x=19086..32378,y=42017..57587,z=-68959..-44763
off x=-83..8471,y=-72344..-50195,z=36481..68586
off x=-36375..-25938,y=-69174..-48526,z=-48854..-46853
on x=-15285..11416,y=-76130..-59563,z=-46407..-22439
off x=-69367..-52426,y=25391..46453,z=-10234..7828
on x=-72727..-60225,y=-38827..-25690,z=-42223..-18667
on x=42838..64386,y=12680..29933,z=-68831..-52183
on x=18070..42298,y=-78992..-57543,z=-20906..-13301
on x=-55875..-39308,y=-55098..-35781,z=30971..57698
on x=35119..47623,y=-73663..-54295,z=-3539..26342
on x=-84065..-61161,y=-3207..33256,z=-32001..-15249
off x=-54756..-30571,y=58767..68023,z=12370..28119
off x=-87490..-62979,y=5645..40459,z=-21364..-3385
on x=24194..37541,y=-33900..-28321,z=-78880..-54593
on x=-62478..-38761,y=22212..41436,z=36708..62622
off x=56713..68194,y=-20789..-14297,z=-61095..-50322
on x=-72902..-44221,y=-42793..-26280,z=-48733..-33791
on x=64373..86115,y=15064..33167,z=16921..49077
off x=24753..42194,y=-6759..12099,z=70552..85054
off x=-12199..24098,y=49705..63058,z=-63860..-38435
on x=3734..42354,y=61212..95571,z=-10562..17698
on x=-17408..-5695,y=-609..8253,z=-97454..-74672
on x=-42167..-22341,y=-71935..-42581,z=-50253..-24178
on x=-54481..-38663,y=-16909..21415,z=-77181..-44426
off x=-11477..9297,y=-50630..-26321,z=55462..79296
off x=-84974..-60153,y=-48601..-19827,z=8848..26585
on x=-62596..-36034,y=-58415..-41586,z=-55666..-27573
off x=47430..67745,y=18197..49591,z=31865..42439
off x=23925..32353,y=32122..54623,z=57938..79131
on x=-16801..4162,y=-98731..-68459,z=4760..29002
off x=20414..42287,y=44769..56648,z=-67173..-38591
on x=57757..79682,y=-35686..-15384,z=37594..53205
on x=43425..77866,y=-54033..-33577,z=-14291..1892
off x=61941..77486,y=-15977..7549,z=-42755..-23589
off x=-46801..-17722,y=-76833..-62069,z=-16214..21958
on x=-33113..-17668,y=36644..50102,z=50787..74022
off x=60521..75760,y=23551..43986,z=-20580..-6589
on x=-14911..14191,y=57578..66612,z=-60746..-39130
